isolate_id,bacteria,antibiotic,mic,resistant,time_point
001,P.aeruginosa,Cefepime,16,1,1
001,P.aeruginosa,Cefepime,18,1,2
001,P.aeruginosa,Cefepime,20,1,3
002,P.aeruginosa,Ciprofloxacin,0.5,0,1
002,P.aeruginosa,Ciprofloxacin,1.0,0,2
002,P.aeruginosa,Ciprofloxacin,2.0,1,3
003,E.coli,Ampicillin,2,0,1
003,E.coli,Ampicillin,4,1,2
003,E.coli,Ampicillin,8,1,3
004,K.pneumoniae,Meropenem,0.25,0,1
004,K.pneumoniae,Meropenem,0.5,0,2
004,K.pneumoniae,Meropenem,1.0,1,3
005,P.aeruginosa,Meropenem,32,1,1
005,P.aeruginosa,Meropenem,28,1,2
005,P.aeruginosa,Meropenem,24,1,3
